IDA* Moves,IDA* Time (s)
2,0.000000682
3,0.000001161
4,0.00001039
5,0.000024666
6,0.000025514
7,0.00144888
8,0.002083491
9,0.016180093
10,0.491986809
11,2.969470223
12,73.752007643
1,0.000001574
2,0.000000801
3,0.000002208
4,0.000001346
5,0.000002149
6,0.000058135
7,0.000651038
8,0.001078629
9,0.028742394
10,0.244144342
11,1.506572102
12,31.809729641
1,0.000000783
2,0.000002098
3,0.000003468
4,0.000001647
5,0.000006991
6,0.000169803
7,0.00027966
8,0.002416642
9,0.023225075
10,1.209285744
11,3.434724718
12,53.308029041
1,0.000001797
2,0.000002418
3,0.0000048
4,0.000008972
5,0.000002991
6,0.000029026
7,0.000080402
8,0.00073227
9,0.013304913
10,0.14021619
11,4.474328738
12,58.497528404
1,0.00000203
2,0.000002616
3,0.000002
4,0.000009658
5,0.000013443
6,0.000028824
7,0.001680691
8,0.00296076
9,0.008688362
10,0.729903392
11,1.985210447
12,66.633361357
1,0.000001314
2,0.000002184
3,0.00000222
4,0.000002042
5,0.000066062
6,0.00012279
7,0.000039333
8,0.008013559
9,0.111171806
10,0.469734957
11,2.496756469
12,44.855059693
1,0.00000119
2,0.000001074
3,0.000002713
4,0.000015948
5,0.000016258
6,0.000175372
7,0.000075806
8,0.008225106
9,0.151139632
10,0.208470423
11,1.680674116
12,31.951920845
1,0.000001292
2,0.000000923
3,0.000002196
4,0.000002074
5,0.000004691
6,0.000011568
7,0.000414574
8,0.002767143
9,0.195890441
10,0.091098125
11,0.936712954
12,11.850146015
1,0.000002017
2,0.000001429
3,0.000002535
4,0.000002126
5,0.000018374
6,0.000107391
7,0.000111216
8,0.001900126
9,0.145457051
10,0.90011346
11,1.060941058
12,12.457474638
1,0.000000742
2,0.000001261
3,0.000001665
4,0.000002509
5,0.000005982
6,0.000092872
7,0.000214349
8,0.025111708
9,0.004079164
10,0.156878494
11,15.141638617
12,88.642864287
1,0.000000876
2,0.000001845
3,0.000001443
4,0.000008553
5,0.000002165
6,0.000161213
7,0.00035797
8,0.000828229
9,0.032510935
10,0.459823866
11,5.837304532
12,57.169548555
1,0.000001471
2,0.000002252
3,0.000001903
4,0.000002675
5,0.000016029
6,0.000047221
7,0.000561264
8,0.001568086
9,0.003593892
10,1.124950243
11,3.4724598
12,141.734462544
1,0.000001644
2,0.000001615
3,0.000002277
4,0.000003286
5,0.000004543
6,0.000006583
7,0.001564174
8,0.004098703
9,0.025715325
10,0.246947424
11,4.089675823
12,39.060686901
1,0.000001331
2,0.000001124
3,0.000003002
4,0.000007397
5,0.000022452
6,0.000156185
7,0.000076462
8,0.006519458
9,0.032208963
10,0.030430529
11,1.160457524
12,5.312573871
1,0.0000016
2,0.000001538
3,0.000002491
4,0.00000496
5,0.000005418
6,0.000002783
7,0.00019928
8,0.001062454
9,0.023976899
10,0.035253821
11,1.5997936099999999
12,26.882600191999998
1,0.000001904
2,0.000001897
3,0.000002057
4,0.000015251
5,0.00000869
6,0.000100224
7,0.000024136
8,0.007856883
9,0.000967744
10,0.165976589
11,7.567250824
12,7.147196314
1,0.000002026
2,0.000001261
3,0.000001699
4,0.000001872
5,0.000004146
6,0.0000305
7,0.000064292
8,0.016471547
9,0.014433722
10,0.130868087
11,26.030311956
12,71.852686433
1,0.000001039
2,0.000002196
3,0.000002113
4,0.000002096
5,0.000070297
6,0.000057226
7,0.000381687
8,0.000281749
9,0.018423303
10,0.367487919
11,14.514109198
12,15.554245440999999
1,0.00000079
2,0.00000132
3,0.000003365
4,0.00000488
5,0.000006822
6,0.000004965
7,0.001865903
8,0.003868424
9,0.135630408
10,0.920614964
11,1.814021527
12,61.396233063
1,0.000001193
2,0.000002576
3,0.00000204
4,0.000016223
5,0.000012614
6,0.000113776
7,0.001573335
8,0.007476006
9,0.010064096
10,0.267601758
11,5.116491965
12,21.274475843
1,0.000000841
2,0.000001913
3,0.000002723
4,0.000004737
5,0.000070495
6,0.000066677
7,0.000143582
8,0.000410489
9,0.015249867
10,0.22793728
11,5.387181663
12,33.182720389
1,0.000001756
2,0.000000369
3,0.000001612
4,0.000003294
5,0.000022288
6,0.000066852
7,0.000420963
8,0.008654675
9,0.020797537
10,0.599108382
11,0.953187558
12,67.827637371
1,0.000000544
2,0.00000204
3,0.000002393
4,0.000002867
5,0.000012516
6,0.000113699
7,0.000015449
8,0.003291407
9,0.002327601
10,1.532200883
11,1.6597581259999998
12,94.80878304
1,0.000001157
2,0.000000578
3,0.000001541
4,0.000002583
5,0.000011911
6,0.000036841
7,0.000468251
8,0.003142165
9,0.218181597
10,0.403504784
11,2.919817656
12,16.089479017
1,0.000001751
2,0.000001834
3,0.000002478
4,0.000002981
5,0.000010005
6,0.000026964
7,0.001280968
8,0.004502391
9,0.033277663
10,0.456928087
11,4.725371746
12,22.58043286
1,0.000001271
2,0.0000021
3,0.000002562
4,0.00000361
5,0.000044535
6,0.000032715
7,0.000094768
8,0.009403044
9,0.022960914
10,1.267555557
11,3.9817612159999998
12,65.163709042
