Scramble Length,Solution Moves,Solution Time (s)
20,19,0.000037984
21,19,0.000135995
22,20,0.000039341
23,21,0.000630493
24,19,0.000022057
25,21,0.008786722
26,21,0.001688348
27,21,0.010968841
28,21,0.001102554
29,21,0.001210912
30,21,0.001411954
1,1,0.000003255
2,2,0.000002987
3,10,0.000007766
4,11,0.000093119
5,5,0.000004602
6,16,0.000012436
7,7,0.000006061
8,11,0.000007946
9,16,0.000082794
10,17,0.000030847
11,18,0.000168557
12,19,0.000202143
13,18,0.000759357
14,17,0.000605847
15,18,0.000024481
16,21,0.000294452
17,21,0.001012265
18,20,0.000886494
19,19,0.012448501
20,19,0.000097567
21,20,0.001359846
22,19,0.000498556
23,20,0.005375166
24,21,0.01103594
25,20,0.000830249
26,20,0.000330303
27,20,0.000952316
28,20,0.00027068
29,21,0.001132643
30,20,0.000625454
1,1,0.000002828
2,2,0.000002298
3,3,0.000002652
4,4,0.000003431
5,15,0.000065975
6,16,0.000013532
7,9,0.000008832
8,8,0.000005017
9,16,0.000067783
10,17,0.000033002
11,14,0.000015228
12,18,0.001192126
13,20,0.000336546
14,19,0.000103802
15,21,0.001342038
16,21,0.001743652
17,19,0.000617462
18,20,0.00155981
19,21,0.001973444
20,20,0.000099629
21,21,0.00093229
22,20,0.001674842
23,21,0.001108887
24,20,0.000403813
25,20,0.00003816
26,21,0.000597643
27,20,0.00015888
28,20,0.000425919
29,20,0.000227
30,21,0.000972996
1,8,0.000119147
2,2,0.00000299
3,3,0.000002909
4,11,0.000075059
5,5,0.000004913
6,13,0.000051865
7,7,0.000004826
8,12,0.000006631
9,17,0.000076433
10,11,0.00001198
11,11,0.000068382
12,20,0.000198805
13,21,0.00251141
14,20,0.001633909
15,18,0.000026699
16,18,0.000019188
17,20,0.000047361
18,21,0.001697251
19,20,0.001073341
20,20,0.000286854
21,20,0.000787889
22,20,0.001808004
23,20,0.009366241
24,20,0.000400498
25,21,0.008084386
26,20,0.001372322
27,21,0.00062886
28,20,0.000818579
29,20,0.001091156
30,21,0.000933175
1,8,0.000099795
2,2,0.000002165
3,3,0.000003095
4,3,0.000002709
5,9,0.000006399
6,6,0.000037044
7,11,0.000012243
8,13,0.0000082
9,11,0.000008896
10,13,0.0000187
11,20,0.000038604
12,16,0.000034517
13,20,0.000161065
14,19,0.000037583
15,20,0.000076454
16,16,0.000022669
17,20,0.000028447
18,20,0.000056254
19,20,0.000674392
20,20,0.000378542
21,22,0.004828609
22,21,0.001263601
23,21,0.002489536
24,21,0.001002679
25,21,0.001445332
26,21,0.002010196
27,19,0.000029797
28,20,0.000785822
29,19,0.000946491
30,20,0.000132005
1,1,0.000002614
