ida_depth,Time (s)
8,0.001410222
9,0.024545135
10,0.91665419
1,0.000977591
2,0.001087271
3,0.000164648
4,0.000989807
5,0.001032975
6,0.00115265
7,0.002190006
8,0.005436761
9,0.051783421
10,2.359652322
1,0.002473253
2,0.001293077
3,0.000734213
4,0.000187435
5,0.01329059
6,0.000619655
7,0.000591034
8,0.001308997
9,0.326710381
10,0.824040339
1,0.000033921
2,0.002370742
3,0.014791684
4,0.000752212
5,0.008661411
6,0.000255678
7,0.006765104
8,0.00865842
9,0.166124369
10,5.67006004
1,0.001202245
2,0.002055416
3,0.00074581
4,0.000385078
5,0.004854548
6,0.000887865
7,0.000138794
8,0.006099208
9,0.045414449
10,1.155814334
1,0.000668842
2,0.002787936
3,0.000895253
4,0.000554474
5,0.009057246
6,0.000883634
7,0.000459278
8,0.007504209
9,0.037280595
10,0.256885649
1,0.007387614
2,0.000967773
3,0.000066503
4,0.003529465
5,0.000544178
6,0.000525788
7,0.001008517
8,0.00217308
9,0.03419852
10,0.826387558
1,0.008667723
2,0.00022553
3,0.002174991
4,0.001416527
5,0.003465549
6,0.004419256
7,0.003115492
8,0.009040647
9,0.142868757
10,1.462577709
1,0.006329441
2,0.009623455
3,0.002436769
4,0.001226894
5,0.000305438
6,0.000211068
7,0.000637973
8,0.020347769
9,0.005640156
10,0.793868651
1,0.000128662
2,0.000140005
3,0.000614071
4,0.001365433
5,0.000692766
6,0.00172884
7,0.000845824
8,0.014428245
9,0.133481405
10,1.130997063
1,0.000554299
2,0.000814156
3,0.005773715
4,0.000276187
5,0.000549479
6,0.000888748
7,0.000245818
8,0.003356519
9,0.020678613
10,1.202883856
1,0.005368866
2,0.000921905
3,0.001621664
4,0.000339252
5,0.000673675
6,0.000552575
7,0.002159429
8,0.011169311
9,0.314876177
10,0.662523718
1,0.000360518
2,0.004257996
3,0.000775039
4,0.000338398
5,0.000900795
6,0.002472478
7,0.000150231
8,0.001871365
9,0.039525976
10,1.896898355
1,0.000093326
2,0.000043368
3,0.000981771
4,0.000315837
5,0.000314877
6,0.000747503
7,0.002337474
8,0.008334089
9,0.051142224
10,1.514042457
1,0.000721915
2,0.000063554
3,0.000426431
4,0.001766306
5,0.00100069
6,0.000087886
7,0.00213355
8,0.009425966
9,0.034218293
10,1.910532983
1,0.003772639
2,0.012642843
3,0.000813495
4,0.000168287
5,0.013304632
6,0.000155407
7,0.000358366
8,0.013758208
9,0.13319424
10,11.109315797
1,0.00081223
2,0.007654275
3,0.000336761
4,0.000719729
5,0.000890781
6,0.008619625
7,0.008676509
8,0.028143861
9,0.26459715
10,1.7825173410000001
1,0.000395982
2,0.000778666
3,0.000612662
4,0.005753665
5,0.00086308
6,0.0016638
7,0.000123544
8,0.010067854
9,0.053958643
10,0.490541447
1,0.000168508
2,0.000363268
3,0.000759776
4,0.001316533
5,0.000328931
6,0.00075622
7,0.000731013
8,0.004708304
9,0.340056382
10,1.30117638
1,0.002807904
2,0.00020277
3,0.000612935
4,0.000038759
5,0.002247027
6,0.001140183
7,0.001672788
8,0.007637411
9,0.03443813
10,1.124300039
1,0.000468113
2,0.000128492
3,0.008820518
4,0.000637596
5,0.001283542
6,0.001986642
7,0.001483678
8,0.008070757
9,0.031281312
10,0.574402635
1,0.001058863
2,0.001587088
3,0.000915093
4,0.000129638
5,0.000369353
6,0.000684932
7,0.001063863
8,0.012036282
9,0.014102913
10,2.177474995
1,0.002211093
2,0.000069071
3,0.001088613
4,0.000760356
5,0.005334449
6,0.000961992
7,0.001903553
8,0.020772994
9,0.204975767
10,3.104149724
1,0.000866715
2,0.000120267
3,0.000075871
4,0.001141161
5,0.000754456
6,0.002299697
7,0.000229888
8,0.001530919
9,0.046095724
10,6.720659166
