BFS Moves,BFS Time (s)
1,0.000002284
2,0.000018418
3,0.00008313
4,0.002306602
5,0.034592733
6,0.474584213
7,3.847358996
8,88.110621657
1,0.000002189
2,0.000010353
3,0.000066453
4,0.001998763
5,0.039280599
6,0.389514729
7,6.969458438
8,56.781344263
1,0.000002547
2,0.000006691
3,0.00009377
4,0.001001969
5,0.0310324
6,0.291599238
7,4.236932617
8,78.758072514
1,0.000003248
2,0.000003305
3,0.000082037
4,0.000939361
5,0.01950041
6,0.440054616
7,2.837846269
8,67.65379567
1,0.000002876
2,0.000010805
3,0.000150243
4,0.002336471
5,0.0119623
6,0.43214284
7,1.7237343109999999
8,21.363518921
1,0.000001674
2,0.000015119
3,0.000150592
4,0.001575559
5,0.004450729
6,0.066541345
7,4.066567486
8,15.906914963
1,0.000002027
2,0.000017338
3,0.000186967
4,0.001524176
5,0.008634762
6,0.23257145
7,3.864635972
8,45.69335909
1,0.000001906
2,0.000015418
3,0.000227754
4,0.000889731
5,0.032531894
6,0.361153511
7,4.259305585
8,89.046693179
1,0.000002895
2,0.000003427
3,0.000020942
4,0.00166638
5,0.025609667
6,0.519139739
7,6.568293979
8,65.223976555
1,0.000002806
2,0.00000568
3,0.000162649
4,0.002239979
5,0.041007742
6,0.066186966
7,4.122196239
8,83.547285062
1,0.000002837
2,0.000015049
3,0.000139235
4,0.001641866
5,0.01923713
6,0.158352754
7,6.763213313
8,12.148753133
1,0.000002283
2,0.000016737
3,0.000225522
4,0.001015506
5,0.02401657
6,0.324157704
7,5.5041982659999995
8,38.938245194
1,0.000002604
2,0.000013975
3,0.000075505
4,0.002779346
5,0.005855484
6,0.312450635
7,5.631780605
8,27.61432451
1,0.000002732
2,0.000006144
3,0.000053615
4,0.002251288
5,0.024781177
6,0.546635905
7,4.2536576440000005
8,13.26698831
